stop_name,X,Y,Rail,System,Mode,Line,Region,State,Station_ID,City
25th/Commercial St Station,-117.14141253100,32.70524110300,1,San Diego MTS,LRT,Orange,San Diego,California,40,San Diego
25th/Commercial St Station,-117.13823069000,32.70531353500,1,San Diego MTS,LRT,Orange,San Diego,California,41,San Diego
27th & Welton Station,-104.97792900000,39.75497500000,1,Denver RTD,LRT,D,Denver,Colorado,42,Denver
27th & Welton Station,-104.97783500000,39.75482300000,1,Denver RTD,LRT,D,Denver,Colorado,43,Denver
28 Av Station & Platform,-93.23181200000,44.85568200000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,44,Bloomington
28 Av Station & Platform,-93.23163600000,44.85577400000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,45,Bloomington
30th & Downing Station,-104.97345000000,39.75898800000,1,Denver RTD,LRT,D,Denver,Colorado,46,Denver
30th St & Dolores St,-122.42445700000,37.74217000000,1,Muni,LRT,J - Church,San Francisco,California,47,San Francisco
30th St & Dolores St,-122.42402600000,37.74230400000,1,Muni,LRT,J - Church,San Francisco,California,48,San Francisco
32nd St/Commercial Station,-117.12498877500,32.70551539300,1,San Diego MTS,LRT,Orange,San Diego,California,49,San Diego
32nd St/Commercial Station,-117.12442791200,32.70599761100,1,San Diego MTS,LRT,Orange,San Diego,California,50,San Diego
38 St Station & Platform,-93.22954600000,44.93485600000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,51,Minneapolis
38 St Station & Platform,-93.22942400000,44.93461200000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,52,Minneapolis
38TH STREET/WASHINGTON LIGHT RAIL STN,-112.00049800000,33.44810600000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,53,Phoenix
38TH STREET/WASHINGTON LIGHT RAIL STN,-111.99936400000,33.44817200000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,54,Phoenix
3RD STREET/JEFFERSON LIGHT RAIL STATION,-112.06977700000,33.44627000000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,55,Phoenix
3RD STREET/WASHINGTON LIGHT RAIL STATION,-112.07017900000,33.44827100000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,56,Phoenix
44TH STREET/WASHINGTON LIGHT RAIL STN,-111.98858000000,33.44812000000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,57,Phoenix
44TH STREET/WASHINGTON LIGHT RAIL STN,-111.98744400000,33.44822100000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,58,Phoenix
46 St Station & Platform,-93.22002400000,44.92080700000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,59,Minneapolis
46 St Station & Platform,-93.21981800000,44.92083000000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,60,Minneapolis
46th Ave & Taraval St,-122.50453400000,37.74168500000,1,Muni,LRT,L - Taraval,San Francisco,California,61,San Francisco
46th Ave & Ulloa St,-122.50457900000,37.73999800000,1,Muni,LRT,L - Taraval,San Francisco,California,62,San Francisco
46th Ave & Ulloa St,-122.50440700000,37.73982900000,1,Muni,LRT,L - Taraval,San Francisco,California,63,San Francisco
46th Ave & Vicente St,-122.50444000000,37.73814200000,1,Muni,LRT,L - Taraval,San Francisco,California,64,San Francisco
46th Ave & Vicente St,-122.50426800000,37.73797300000,1,Muni,LRT,L - Taraval,San Francisco,California,65,San Francisco
47th St Station,-117.09522187000,32.70833682800,1,San Diego MTS,LRT,Orange,San Diego,California,66,San Diego
47th St Station,-117.09439852800,32.70858708500,1,San Diego MTS,LRT,Orange,San Diego,California,67,San Diego
4th St & King St,-122.39403600000,37.77625200000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,68,San Francisco
4th St & King St,-122.39386400000,37.77627800000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,69,San Francisco
50 St Minnehaha Sta & Platform,-93.21029700000,44.91246000000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,70,Minneapolis
50 St Minnehaha Sta & Platform,-93.21015900000,44.91248700000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,71,Minneapolis
5TH & MISSOURI METROLINK STATION,-90.15934600000,38.62508800000,1,Metro Saint Louis,LRT,"Blue, Red",Saint Louis,Illinois,72,East St. Louis
70th St Station,-117.04211913800,32.77215198000,1,San Diego MTS,LRT,Green,San Diego,California,73,La Mesa
70th St Station,-117.04209954600,32.77214386100,1,San Diego MTS,LRT,Green,San Diego,California,74,La Mesa
7TH AVE/CAMELBACK RD LIGHT RAIL STATION,-112.08394900000,33.50928800000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,75,Phoenix
7TH AVE/CAMELBACK RD LIGHT RAIL STATION,-112.08274900000,33.50930500000,1,Valley Metro,LRT,Valley Metro Rail,Phoenix,Arizona,76,Phoenix
8TH AND PINE METROLINK STATION,-90.19266500000,38.62797900000,1,Metro Saint Louis,LRT,"Blue, Red",Saint Louis,Missouri,77,St. Louis
8th Street Station,-117.11301039600,32.67473413300,1,San Diego MTS,LRT,Blue,San Diego,California,78,National City
8th Street Station,-117.11300365500,32.67470944400,1,San Diego MTS,LRT,Blue,San Diego,California,79,National City
9th Ave & Irving St,-122.46624100000,37.76391300000,1,Muni,LRT,N - Judah,San Francisco,California,80,San Francisco
ABERDEEN MARC nb,-76.16258800000,39.50914600000,1,MARC,CR,Penn,Baltimore,Maryland,81,Aberdeen
Airport Station,-71.03039500000,42.37426200000,1,MBTA,HRT,Blue,Boston,Massachusetts,82,Boston
AIRPORT STATION,-84.44631600000,33.63986400000,1,MARTA,HRT,"North-South, Northeast-South",Atlanta,Georgia,83,College Park
AKARD STATION,-96.80072600000,32.78183900000,1,DART,LRT,"Blue, Green, Orange, Red",Dallas-Fort Worth,Texas,84,Dallas
Alameda Station,-104.99314300000,39.70870600000,1,Denver RTD,LRT,"C, D, E, F, H, W",Denver,Colorado,85,Denver
Alameda Station,-104.99278500000,39.70819600000,1,Denver RTD,LRT,"C, D, E, F, H, W",Denver,Colorado,86,Denver
Albina/Mississippi MAX Station,-122.67576300000,45.53970200000,1,Portland TriMet,LRT,Yellow,Portland,Oregon,87,Portland
Albina/Mississippi MAX Station,-122.67523100000,45.53940800000,1,Portland TriMet,LRT,Yellow,Portland,Oregon,88,Portland
Alewife Station,-71.14248300000,42.39542800000,1,MBTA,HRT,Red,Boston,Massachusetts,89,Cambridge
ALLEGHENY STATION,-80.01783900000,40.44786500000,1,PAT,LRT,"Blue, Red",Pittsburgh,Pennsylvania,90,Pittsburgh
Allston St. Station,-71.13795500000,42.34870100000,1,MBTA,LRT,Green-B,Boston,Massachusetts,91,Boston
ALMADEN STATION (0),-121.87016386900,37.24522937400,1,VTA,LRT,Almaden - Ohlone/Chynoweth,San Jose,California,92,San Jose
ALMADEN STATION (1),-121.87070950800,37.24456506000,1,VTA,LRT,Almaden - Ohlone/Chynoweth,San Jose,California,93,San Jose
ALUM ROCK STATION (0),-121.83212036000,37.35813414000,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,94,San Jose
ALUM ROCK STATION (1),-121.83223900000,37.35836900000,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,95,San Jose
Alvarado Station,-117.05726938400,32.77744360700,1,San Diego MTS,LRT,Green,San Diego,California,96,San Diego
Alvarado Station,-117.05631118100,32.77726022500,1,San Diego MTS,LRT,Green,San Diego,California,97,San Diego
Amaya Drive Station,-117.00168315900,32.78538048300,1,San Diego MTS,LRT,"Green, Orange",San Diego,California,98,La Mesa
Amaya Drive Station,-117.00162798900,32.78539731000,1,San Diego MTS,LRT,"Green, Orange",San Diego,California,99,La Mesa
America Plaza Station,-117.16881361900,32.71644358000,1,San Diego MTS,LRT,"Blue, Orange",San Diego,California,100,San Diego
America Plaza Station,-117.16872428100,32.71660640800,1,San Diego MTS,LRT,"Blue, Orange",San Diego,California,101,San Diego
American Blv 34 Av S & Platform,-93.22322800000,44.85830700000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,102,Bloomington
American Blv 34 Av S & Platform,-93.22306800000,44.85915000000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,103,Bloomington
Andrew Station,-71.05765500000,42.33015400000,1,MBTA,HRT,Red,Boston,Massachusetts,104,Boston
Anoka Station & Platform,-93.38422400000,45.20766800000,1,Metro Transit,CR,Northstar,Twin Cities,Minnesota,105,Anoka
Anoka Station & Platform,-93.38413200000,45.20787800000,1,Metro Transit,CR,Northstar,Twin Cities,Minnesota,106,Anoka
Aquarium Station,-71.05165200000,42.35978400000,1,MBTA,HRT,Blue,Boston,Massachusetts,107,Boston
ARAPAHO CENTER STATION,-96.72247400000,32.96251600000,1,DART,LRT,"Orange, Red",Dallas-Fort Worth,Texas,108,Richardson
Arapahoe at Village Center Station,-104.88855500000,39.60030100000,1,Denver RTD,LRT,"E, F",Denver,Colorado,109,Greenwood Village
ARCH LACLEDES METROLINK STATION,-90.18355000000,38.62948400000,1,Metro Saint Louis,LRT,"Blue, Red",Saint Louis,Missouri,110,St. Louis
ARLINGTON,-80.03339200000,40.36983300000,1,PAT,LRT,Red,Pittsburgh,Pennsylvania,111,Castle Shannon
ARLINGTON,-80.03322400000,40.36997600000,1,PAT,LRT,Red,Pittsburgh,Pennsylvania,112,Castle Shannon
Arlington Station,-71.07089300000,42.35190200000,1,MBTA,LRT,"Green-B, C, D, E",Boston,Massachusetts,113,Boston
Arnele Avenue Station,-116.97563303900,32.80466853900,1,San Diego MTS,LRT,"Green, Orange",San Diego,California,114,El Cajon
Arnele Avenue Station,-116.97563292600,32.80465479800,1,San Diego MTS,LRT,"Green, Orange",San Diego,California,115,El Cajon
Art Museum,-122.68399100000,45.51630500000,1,Portland TriMet,Streetcar,"Central Loop, North South",Portland,Oregon,116,Portland
ARTS CENTER STATION,-84.38712500000,33.78928300000,1,MARTA,HRT,"North-South, Northeast-South",Atlanta,Georgia,117,Atlanta
Ashby,-122.26978000000,37.85302400000,1,BART,HRT,"Orange, Red",San Francisco,California,118,Berkeley
ASHBY STATION,-84.41755600000,33.75628900000,1,MARTA,HRT,"East-West, Proctor Creek",Atlanta,Georgia,119,Atlanta
Ashmont Station,-71.06448900000,42.28465200000,1,MBTA,"LRT, HRT","Red, Red-M",Boston,Massachusetts,120,Boston
Atherton Caltrain,-122.19786900000,37.46458400000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,121,Atherton
Atherton Caltrain,-122.19779000000,37.46464500000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,122,Atherton
Auraria West Station,-105.01093700000,39.74202700000,1,Denver RTD,LRT,"C, E, W",Denver,Colorado,123,Denver
Auraria West Station,-105.01068500000,39.74131600000,1,Denver RTD,LRT,"C, E, W",Denver,Colorado,124,Denver
AVONDALE STATION,-84.28071500000,33.77533000000,1,MARTA,HRT,East-West,Atlanta,Georgia,125,Avondale Estates
Babcock St. Station,-71.12165000000,42.35182000000,1,MBTA,LRT,Green-B,Boston,Massachusetts,126,Boston
BACHMAN STATION,-96.87704400000,32.85481800000,1,DART,LRT,"Green, Orange",Dallas-Fort Worth,Texas,127,Dallas
Back Bay Station,-71.07572700000,42.34735000000,1,MBTA,HRT,Orange,Boston,Massachusetts,128,Boston
Back of the Hill Station,-71.11131300000,42.33013900000,1,MBTA,LRT,Green-E,Boston,Massachusetts,129,Boston
Balboa Park,-122.44741420000,37.72198087000,1,"BART, Muni","HRT, LRT","Blue, Green, Red, Yellow, J - Church, KT - Ingleside/3rd St",San Francisco,California,130,San Francisco
Balboa Park BART/Mezzanine level,-122.44665700000,37.72089900000,1,Muni,LRT,M - Ocean View,San Francisco,California,131,San Francisco
Balboa Park BART/Mezzanine Level,-122.44665100000,37.72087600000,1,Muni,LRT,M - Ocean View,San Francisco,California,132,San Francisco
BALTIMORE HIGHLANDS & LT RAIL sb,-76.63344000000,39.23379900000,1,MARC,LRT,"Hunt Valley to BWI-Marshall, Cromwell Station/Glen Burnie",Baltimore,Maryland,133,Baltimore Highlands
BALTIMORE ST & LIGHT RAIL STAT nb,-76.61951100000,39.28915500000,1,MARC,LRT,"Hunt Valley to BWI-Marshall, Cromwell Station/Glen Burnie",Baltimore,Maryland,134,Baltimore
BANKHEAD STATION,-84.42863300000,33.77194400000,1,MARTA,HRT,Proctor Creek,Atlanta,Georgia,135,Atlanta
Barrio Logan Station,-117.14657301400,32.69802733300,1,San Diego MTS,LRT,Blue,San Diego,California,136,San Diego
Barrio Logan Station,-117.14656973600,32.69802460800,1,San Diego MTS,LRT,Blue,San Diego,California,137,San Diego
BASCOM STATION (0),-121.92983014000,37.29985056000,1,VTA,LRT,Mountain View - Winchester,San Jose,California,138,San Jose
BASCOM STATION (1),-121.93030419000,37.29946665000,1,VTA,LRT,Mountain View - Winchester,San Jose,California,139,San Jose
BATIMORE HIGHLANDS & LT RAIL nb,-76.63312300000,39.23425600000,1,MARC,LRT,"Hunt Valley to BWI-Marshall, Cromwell Station/Glen Burnie",Baltimore,Maryland,140,Baltimore Highlands
Bay Fair,-122.12687100000,37.69718500000,1,BART,HRT,"Blue, Green, Orange",San Francisco,California,141,San Leandro
Bay Shore Blvd & Sunnydale Ave,-122.40505500000,37.70897000000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,142,San Francisco
Bay Shore Blvd & Sunnydale Ave,-122.40502100000,37.70899700000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,143,San Francisco
Bay Shore Blvd/Arleta/Blanken,-122.40233900000,37.71222600000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,144,San Francisco
Bay Shore Blvd/Arleta/Blanken,-122.40231600000,37.71225300000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,145,San Francisco
Bayfront/E Street Station,-117.09903725400,32.63901827700,1,San Diego MTS,LRT,Blue,San Diego,California,146,Chula Vista
BAYLOR STATION,-96.78213200000,32.78649500000,1,DART,LRT,Green,Dallas-Fort Worth,Texas,147,Dallas
BAYPOINTE STATION (0),-121.94152339900,37.41087684000,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,148,San Jose
BAYPOINTE STATION (1),-121.94231691800,37.41053127800,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,149,San Jose
Bayshore Caltrain,-122.40198000000,37.70954400000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,150,San Francisco
Bayshore Caltrain,-122.40158600000,37.70953700000,1,Muni,LRT,KT - Ingleside/3rd St,San Francisco,California,151,San Francisco
BAYSHORE NASA STATION (0),-122.04998946600,37.40470272500,1,VTA,LRT,Mountain View - Winchester,San Jose,California,152,
BAYSHORE NASA STATION (1),-122.04916698400,37.40432725700,1,VTA,LRT,Mountain View - Winchester,San Jose,California,153,
Beach St & Mason St,-122.41412500000,37.80740700000,1,F-Market,Streetcar,F - Market & Wharves,San Francisco,California,154,San Francisco
Beach St & Stockton St,-122.41081000000,37.80784100000,1,F-Market,Streetcar,F - Market & Wharves,San Francisco,California,155,San Francisco
Beachmont Station,-70.99231944000,42.39754234000,1,MBTA,HRT,Blue,Boston,Massachusetts,156,Revere
Beaconsfield Station,-71.14082300000,42.33584600000,1,MBTA,LRT,Green-D,Boston,Massachusetts,157,Brookline
BEAGLE,-80.03161900000,40.30062800000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,158,Bethel Park
BEAGLE,-80.03131400000,40.30084600000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,159,Bethel Park
Beaverton Central MAX Station,-122.80744100000,45.49042500000,1,Portland TriMet,LRT,Blue,Portland,Oregon,160,Beaverton
Beaverton Central MAX Station,-122.80676600000,45.49050100000,1,Portland TriMet,LRT,Blue,Portland,Oregon,161,Beaverton
Beaverton Creek MAX Station,-122.83332500000,45.50058400000,1,Portland TriMet,LRT,Blue,Portland,Oregon,162,Beaverton
Beaverton Creek MAX Station,-122.83278500000,45.50024900000,1,Portland TriMet,LRT,Blue,Portland,Oregon,163,Beaverton
Beaverton TC MAX Station,-122.80172300000,45.49133000000,1,Portland TriMet,LRT,"Blue, Red",Portland,Oregon,164,Beaverton
Beaverton TC MAX Station,-122.80120000000,45.49169600000,1,Portland TriMet,LRT,"Blue, Red",Portland,Oregon,165,Beaverton
Beaverton TC WES Station,-122.80115700000,45.49064000000,1,Portland TriMet,CR,WES,Portland,Oregon,166,Beaverton
Belleview Station,-104.90456800000,39.62768600000,1,Denver RTD,LRT,"E, F",Denver,Colorado,169,Denver
BELLEVILLE METROLINK STATION,-89.97436800000,38.52182300000,1,Metro Saint Louis,LRT,Red,Saint Louis,Illinois,170,Belleville
Belmont Caltrain,-122.27581600000,37.52084400000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,171,Belmont
Belmont Caltrain,-122.27573800000,37.52089000000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,172,Belmont
BELT LINE STATION,-96.98553500000,32.88718300000,1,DART,LRT,Orange,Dallas-Fort Worth,Texas,173,Irving
BERRYESSA STATION (0),-121.86147712000,37.38738595000,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,174,San Jose
BERRYESSA STATION (1),-121.86311282000,37.38908538000,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,175,San Jose
BETHEL VILLAGE,-80.04661400000,40.34413500000,1,PAT,LRT,"Blue, Red",Pittsburgh,Pennsylvania,176,Bethel Park
BETHEL VILLAGE,-80.04636900000,40.34409300000,1,PAT,LRT,"Blue, Red",Pittsburgh,Pennsylvania,177,Bethel Park
Beyer Blvd Station,-117.04698358800,32.55757956600,1,San Diego MTS,LRT,Blue,San Diego,California,178,San Diego
Beyer Blvd Station,-117.04697707300,32.55757686000,1,San Diego MTS,LRT,Blue,San Diego,California,179,San Diego
Big Lake Station & Platform,-93.72977400000,45.32980700000,1,Metro Transit,CR,Northstar,Twin Cities,Minnesota,180,Big Lake
Blandford St. Station,-71.10025800000,42.34929300000,1,MBTA,LRT,Green-B,Boston,Massachusetts,181,Boston
Bloomington Central Sta & Platform,-93.22640200000,44.85638800000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,182,Bloomington
Bloomington Central Sta & Platform,-93.22616600000,44.85636900000,1,Metro Transit,LRT,Blue,Twin Cities,Minnesota,183,Bloomington
Blossom Hill Caltrain,-121.79768300000,37.25237900000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,184,San Jose
Blossom Hill Caltrain,-121.79764300000,37.25242200000,1,Caltrain,CR,Caltrain,"San Francisco, San Jose",California,185,San Jose
BLOSSOM HILL STATION (0),-121.84181124600,37.25314971600,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,186,San Jose
BLOSSOM HILL STATION (1),-121.84102458200,37.25276704200,1,VTA,LRT,Alum Rock - Santa Teresa,San Jose,California,187,San Jose
BLUE LINE & ASHBY RD RTS,-81.57267800000,41.46861300000,1,GCRTA,LRT,Blue,Cleveland,Ohio,188,Shaker Heights
BLUE LINE & ASHBY RD STATION,-81.57239500000,41.46843700000,1,GCRTA,LRT,Blue,Cleveland,Ohio,189,Shaker Heights
BLUE LINE & AVALON RD RTS,-81.55915100000,41.46651100000,1,GCRTA,LRT,Blue,Cleveland,Ohio,190,Shaker Heights
BLUE LINE & AVALON RD STATION,-81.55878400000,41.46654900000,1,GCRTA,LRT,Blue,Cleveland,Ohio,191,Shaker Heights
BLUE LINE & DREXMORE RD RTS,-81.58824200000,41.48239900000,1,GCRTA,LRT,Blue,Cleveland,Ohio,192,Cleveland
BLUE LINE & DREXMORE RD STATION,-81.58805800000,41.48215900000,1,GCRTA,LRT,Blue,Cleveland,Ohio,193,Cleveland
BLUE LINE & FARNSLEIGH RD RTS,-81.53923000000,41.46651100000,1,GCRTA,LRT,Blue,Cleveland,Ohio,194,Shaker Heights
BLUE LINE & FARNSLEIGH RD STATION,-81.53887200000,41.46644200000,1,GCRTA,LRT,Blue,Cleveland,Ohio,195,Shaker Heights
BLUE LINE & KENMORE RD RTS,-81.55348200000,41.46658700000,1,GCRTA,LRT,Blue,Cleveland,Ohio,196,Shaker Heights
BLUE LINE & KENMORE RD STATION,-81.55311600000,41.46662500000,1,GCRTA,LRT,Blue,Cleveland,Ohio,197,Shaker Heights
BLUE LINE & LEE RD STATION,-81.56526200000,41.46658700000,1,GCRTA,LRT,Blue,Cleveland,Ohio,198,Shaker Heights
BLUE LINE & LYNNFIELD RD STATION,-81.54666100000,41.46655300000,1,GCRTA,LRT,Blue,Cleveland,Ohio,199,Shaker Heights
BLUE LINE & ONAWAY RD RTS,-81.57669800000,41.47213000000,1,GCRTA,LRT,Blue,Cleveland,Ohio,200,Shaker Heights
BLUE LINE & ONAWAY RD STATION,-81.57642400000,41.47195100000,1,GCRTA,LRT,Blue,Cleveland,Ohio,201,Shaker Heights
BLUE LINE & SOUTH WOODLAND RD RTS,-81.58484600000,41.47919100000,1,GCRTA,LRT,Blue,Cleveland,Ohio,202,Shaker Heights
BLUE LINE & SOUTH WOODLAND RD STATION,-81.58457200000,41.47900400000,1,GCRTA,LRT,Blue,Cleveland,Ohio,203,Shaker Heights
BLUE LINE & SOUTHINGTON RD RTS,-81.58094000000,41.47577300000,1,GCRTA,LRT,Blue,Cleveland,Ohio,204,Shaker Heights
BLUE LINE & SOUTHINGTON RD STATION,-81.58066600000,41.47559000000,1,GCRTA,LRT,Blue,Cleveland,Ohio,205,Shaker Heights
BLUE LINE & VAN AKEN - WARRENSVILLE STATION,-81.53711700000,41.46522100000,1,GCRTA,LRT,Blue,Cleveland,Ohio,206,Shaker Heights
BOGGS STATION,-80.01026100000,40.41641900000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,207,Pittsburgh
BOGGS STATION,-80.01014000000,40.41649100000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,208,Pittsburgh
BON AIR STATION,-80.00358600000,40.40893800000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,209,Pittsburgh
BON AIR STATION,-80.00343800000,40.40901800000,1,PAT,LRT,Blue,Pittsburgh,Pennsylvania,210,Pittsburgh
BONAVENTURA STATION (0),-121.92974160700,37.38874886300,1,VTA,LRT,"Mountain View - Winchester, Alum Rock - Santa Teresa",San Jose,California,211,San Jose
BONAVENTURA STATION (1),-121.92871464400,37.38719697800,1,VTA,LRT,"Mountain View - Winchester, Alum Rock - Santa Teresa",San Jose,California,212,San Jose
BORREGAS STATION (0),-122.01931486800,37.41198493200,1,VTA,LRT,Mountain View - Winchester,San Jose,California,213,Sunnyvale
